"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT01998126","Combination Checkpoint Inhibitor Plus Erlotinib or Crizotinib for EGFR or ALK Mutated Stage IV Non-small Cell Lung Cancer",,"Completed","No Results Available","Non-small Cell Lung Cancer","Drug: Ipilimumab|Drug: Erlotinib|Drug: Crizotinib|Drug: Nivolumab","toxicity of ipilimumab and erlotinib in EGFR mutated patients|toxicity of ipilimumab and crizotinib in ALK mutated patients|toxicity of nivolumab and erlotinib in EGFR mutated patients|toxicity of nivolumab and crizotinib in ALK mutated patients|Response rate|Progression Free Survival (PFS)|Overall Survival|immune function pre and post immune therapy","University of Utah|Bristol-Myers Squibb","All","18 Years and older   (Adult, Older Adult)","Phase 1","14","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HCI66705","December 2, 2013","May 9, 2017","March 29, 2018","November 28, 2013",,"April 2, 2018","Huntsman Cancer Institute, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT01998126"
2,"NCT03287674","TIL Therapy in Combination With Checkpoint Inhibitors for Metastatic Ovarian Cancer",,"Active, not recruiting","No Results Available","Metastatic Ovarian Cancer","Drug: Cyclophosphamide|Drug: Fludarabine|Biological: TIL infusion|Drug: Interleukin-2|Drug: Ipilimumab|Drug: Nivolumab","Number and type of reported adverse events|Treatment related immune responses|Objective response rate|Overall Survival|Progression free survival","Inge Marie Svane|Herlev Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","6","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GY1721","October 9, 2017","October 2022","October 2023","September 19, 2017",,"February 12, 2020","Center for Cancer Immune Therapy Dept. of Hematology/oncology, Copenhagen, Denmark",,"https://ClinicalTrials.gov/show/NCT03287674"
3,"NCT03841110","FT500 as Monotherapy and in Combination With Immune Checkpoint Inhibitors in Subjects With Advanced Solid Tumors",,"Recruiting","No Results Available","Advanced Solid Tumors|Lymphoma|Gastric Cancer|Colorectal Cancer|Head and Neck Cancer|Squamous Cell Carcinoma|EGFR Positive Solid Tumor|HER2-positive Breast Cancer|Hepatocellular Carcinoma|Small Cell Lung Cancer|Renal Cell Carcinoma|Pancreas Cancer|Melanoma|NSCLC|Urothelial Carcinoma|Cervical Cancer|Microsatellite Instability|Merkel Cell Carcinoma","Drug: FT500|Drug: Nivolumab|Drug: Pembrolizumab|Drug: Atezolizumab|Drug: Cyclophosphamide|Drug: Fludarabine","The incidence of subjects with Dose Limiting Toxicities within each dose level cohort.|Objective-response rate (ORR)|Duration of FT500 persistence","Fate Therapeutics","All","18 Years and older   (Adult, Older Adult)","Phase 1","76","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FT500-101","February 15, 2019","March 2022","June 2022","February 15, 2019",,"September 27, 2019","UCSD Moores Cancer Center, San Diego, California, United States|University of Minnesota Masonic Cancer Center, Minneapolis, Minnesota, United States|MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03841110"
4,"NCT04038619","Fecal Microbiota Transplantation in Treating Immune-Checkpoint Inhibitor Induced-Diarrhea or Colitis in Genitourinary Cancer Patients",,"Not yet recruiting","No Results Available","Colitis|Diarrhea|Malignant Genitourinary System Neoplasm","Procedure: Fecal Microbiota Transplantation|Drug: Loperamide","Incidence of fecal microbiota transplantation (FMT)-related adverse events|Clinical response/remission of immune-related diarrhea/colitis|Recurrent immune-related diarrhea/colitis within 3 months post-FMT after initially achieving clinical remission/response","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","40","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2018-0663|NCI-2019-02660|P30CA016672","March 2, 2020","July 31, 2021","July 31, 2021","July 31, 2019",,"February 28, 2020","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04038619"
5,"NCT03388632","Recombinant Interleukin-15 in Combination With Checkpoint Inhibitors Nivolumab and Ipilimumab in People With Refractory Cancers",,"Recruiting","No Results Available","Metastatic Solid Tumors|Treatment-Refractory Cancers","Drug: rhIL-15|Drug: Ipilimumab|Drug: Nivolumab","Safety, toxicity profile, dose-limiting toxicity (DLT), and maximumtolerated doses (MTD)|Response rate|Biological effects","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)","Phase 1","50","NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","180033|18-C-0033","February 5, 2018","September 1, 2021","September 1, 2021","January 3, 2018",,"April 20, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03388632"
6,"NCT04009681","A Study Evaluating Safety and Therapeutic Activity of THOR-707 in Adult Subjects With Advanced or Metastatic Solid Tumors","THOR-707-101","Recruiting","No Results Available","Solid Tumor, Unspecified, Adult","Drug: THOR-707|Drug: Checkpoint inhibitor","Rate of Dose-Limiting Toxicities (DLTs)|Maximum Tolerated Dose (MTD)|Recommended Phase 2 Dose|Objective Response Rate (ORR) according to RECIST version 1.1|Duration of Response (DOR) according to RECIST version 1.1|Progression-Free Survival (PFS) according to RECIST version 1.1|Overall Survival according to RECIST version 1.1|Time to Response (TTR) according to RECIST version 1.1|Disease Control Rate (DCR) according to RECIST version 1.1|Immunophenotyping of peripheral blood at various timepoints|Immunophenotyping of tumor samples at various timepoints|Assess presence of antibodies to THOR-707 at various timepoints|Assess plasma concentration of THOR-707 at various timepoints","Synthorx, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","300","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","THOR-707-101","June 20, 2019","June 2022","June 2022","July 5, 2019",,"March 17, 2020","Synthorx Investigational Site, Denver, Colorado, United States|Synthorx Investigational Site, Sarasota, Florida, United States|Synthorx Investigational Site, Nashville, Tennessee, United States|Synthorx Investigational Site, Houston, Texas, United States|Synthorx Investigational Site, San Antonio, Texas, United States|Synthorx Investigational Site, Melbourne, Australia|Synthorx Investigational Site, Perth, Australia|Synthorx Investigational Site, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT04009681"
7,"NCT03945253","Study of ASP8374, an Immune Checkpoint Inhibitor, in Japanese Patients With Advanced Solid Tumors",,"Active, not recruiting","No Results Available","Advanced Solid Tumors","Drug: ASP8374","Safety and tolerability assessed by Dose Limiting Toxicity (DLT)|Safety and tolerability assessed by adverse events (AEs)|Safety and tolerability assessed by immune-related AEs (irAEs)|Safety and tolerability assessed by serious adverse events (SAEs)|Number of participants with laboratory value abnormalities and/or adverse events related to treatment|Safety and tolerability assessed by 12-lead electrocardiogram (ECG)|Number of participants with vital signs abnormalities and/or adverse events related to treatment|Number of participants with physical exam abnormalities and/or adverse events related to treatment|Safety and tolerability assessed by eastern cooperative oncology group (ECOG) performance status|Pharmacokinetics (PK) of ASP8374 in serum: AUClast|PK of ASP8374 in serum: AUCinf|PK of ASP8374 in serum: AUCinf(%extrap)|PK of ASP8374 in serum: AUCtau|PK of ASP8374 in serum: Cmax|PK of ASP8374 in serum: Ctrough|PK of ASP8374 in serum: tmax|PK of ASP8374 in serum: t1/2|PK of ASP8374 in serum: tlast|PK of ASP8374 in serum: CL|PK of ASP8374 in serum: Vz|PK of ASP8374 in serum: Vss|Percent change in tumor size from baseline|Best overall response (BOR) per RECIST 1.1 and 'immune' Response Evaluation Criteria in Solid Tumors (iRECIST)","Astellas Pharma Inc","All","20 Years and older   (Adult, Older Adult)","Phase 1","6","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","8374-CL-0102","August 5, 2019","December 2022","December 2022","May 10, 2019",,"March 12, 2020","Site JP81001, Chuo-ku, Tokyo, Japan",,"https://ClinicalTrials.gov/show/NCT03945253"
8,"NCT03511222","Vorolanib (X-82) Combined With Checkpoint Inhibitors in Patients With Solid Tumors",,"Recruiting","No Results Available","Solid Tumor|Hepatocellular Carcinoma|Gastric Cancer|Gastroesophageal Junction Adenocarcinoma","Drug: Vorolanib|Drug: Nivolumab|Drug: Pembrolizumab","Recommended phase II dose (RP2D) of vorolanib plus pembrolizumab|Recommended phase II dose (RP2D) of vorolanib plus nivolumab|Safety and toxicity of vorolanib plus pembrolizumab as measured by the number and type of adverse events experienced by participant|Safety and toxicity of vorolanib plus nivolumab as measured by the number and type of adverse events experienced by participant","Washington University School of Medicine|Xcovery Holding Company, LLC","All","18 Years and older   (Adult, Older Adult)","Phase 1","36","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","201806087","September 11, 2018","August 15, 2019","August 31, 2020","April 27, 2018",,"January 28, 2020","Washington University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT03511222"
9,"NCT03453164","Checkpoint Inhibitor and Radiotherapy for Recurrent Gastric Cancer (CIRCUIT)",,"Recruiting","No Results Available","Gastric Cancer","Radiation: Radiotherapy + Nivolumab","Disease control rate|Median survival time|Incidence of treatment-emergent adverse events|Local control rate|Expression of PD-L1 and MHC class I on tumor cells, number of CD8 positive lymphocytes in tumor microenvironment|Peak plasma cytokine concentration|Peak regulatory T-cell population|Peak antigen-specific cytotoxic T lymphocyte population","Fukushima Medical University|Kanagawa Cancer Center","All","20 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RK29040","March 28, 2018","August 31, 2020","February 28, 2021","March 5, 2018",,"January 18, 2020","Fukushima Medical University Hospital, Fukushima, Japan","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/64/NCT03453164/SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03453164"
10,"NCT03260322","A Multiple-dose Study of ASP8374, an Immune Checkpoint Inhibitor, as a Single Agent and in Combination With Pembrolizumab in Subjects With Advanced Solid Tumors",,"Recruiting","No Results Available","Advanced Solid Tumors","Drug: ASP8374|Drug: Pembrolizumab","Safety and tolerability assessed by Dose Limiting Toxicity (DLT)|Safety and tolerability assessed by adverse events (AEs)|Safety and tolerability assessed by immune-related AEs (irAEs)|Safety and tolerability assessed by serious adverse events (SAEs)|Number of participants with laboratory value abnormalities and/or adverse events related to treatment|Safety and tolerability assessed by 12-lead electrocardiogram (ECG)|Number of participants with vital signs abnormalities and/or adverse events related to treatment|Number of participants with Physical Exam abnormalities and/or adverse events related to treatment|Safety and tolerability assessed by ECOG performance status|Pharmacokinetics (PK) of ASP8374 in serum: AUClast (Initial treatment, escalation cohorts in monotherapy only)|Pharmacokinetics (PK) of ASP8374 in serum: AUCinf (Initial treatment, escalation cohorts in monotherapy only)|Pharmacokinetics (PK) of ASP8374 in serum: AUCtau (Initial treatment, escalation cohorts in monotherapy only)|Pharmacokinetics (PK) of ASP8374 in serum: Cmax (Initial treatment, escalation cohorts in monotherapy only)|Pharmacokinetics (PK) of ASP8374 in serum: Ctrough (Initial treatment, escalation and expansion cohorts in both monotherapy and combination therapy)|Pharmacokinetics (PK) of pembrolizumab in serum: Ctrough (Initial treatment, escalation cohorts in combination therapy)|Pharmacokinetics (PK) of ASP8374 in serum: Ctrough (Re-treatment, escalation and expansion cohorts in both monotherapy and combination therapy)|Pharmacokinetics (PK) of ASP8374 in serum: tmax (Initial treatment, escalation cohorts in monotherapy only)|Pharmacokinetics (PK) of ASP8374 in serum: t1/2 (Initial treatment, escalation cohorts in monotherapy only)|Pharmacokinetics (PK) of ASP8374 in serum: CL (Initial treatment, escalation cohorts in monotherapy only)|Pharmacokinetics (PK) of ASP8374 in serum: Vz (Initial treatment, escalation cohorts in monotherapy only)|Pharmacokinetics (PK) of ASP8374 in serum: Vss (Initial treatment, escalation cohorts in monotherapy only)|Objective response rate (ORR) by Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 and iRECIST|Duration of response (DOR) by Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 and iRECIST|Persistance of response after discontinuation by iRECIST|Disease control rate (DCR) by Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 and iRECIST","Astellas Pharma Global Development, Inc.|Astellas Pharma Inc","All","18 Years and older   (Adult, Older Adult)","Phase 1","363","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","8374-CL-0101|2018-001146-34","September 8, 2017","July 2021","April 2022","August 24, 2017",,"May 5, 2020","Honor Health Research Institute, Scottsdale, Arizona, United States|University of Arizona, Tucson, Arizona, United States|Cedars-Sinai Medical Center, Los Angeles, California, United States|University of California Los Angeles, Los Angeles, California, United States|University of California, Davis, Sacramento, California, United States|University of California, San Francisco, San Francisco, California, United States|Mount Sinai Comprehensive Cancer Center, Miami Beach, Florida, United States|University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States|University of Kansas Cancer Center, Fairway, Kansas, United States|Karmanos Cancer Institute, Detroit, Michigan, United States|Henry Ford Health System, Detroit, Michigan, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Columbia University Medical Center, New York, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|University Hospital of Cleveland, Cleveland, Ohio, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States|University of Pittsburgh Cancer Institute, Pittsburgh, Pennsylvania, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|Mary Crowley Research Center, Dallas, Texas, United States|Huntsman Cancer Institute, Salt Lake City, Utah, United States|Virginia Cancer Specialists, Fairfax, Virginia, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Site CA15004, Edmonton, Alberta, Canada|Site CA15003, Toronto, Ontario, Canada|Site CA15001, Toronto, Ontario, Canada|Site CA15002, Montreal, Quebec, Canada|Site IT39004, Ancona, Italy|Site IT39012, Meldola, Italy|Site IT39002, Milano, Italy|Site IT39003, Milano, Italy|Site IT39008, Milano, Italy|Site IT39009, Milano, Italy|Site IT39010, Modena, Italy|Site IT39005, Monza, Italy|Site IT39011, Negrar, Italy|Site IT39013, Pisa, Italy|Site IT39007, Siena, Italy|Site JP81001, Chuo-ku, Japan|Site KR82004, Goyang-si, Gyeonggi-do, Korea, Republic of|Site KR82005, Seongnam-Si, Gyeonggi-do, Korea, Republic of|Site KR82001, Seoul, Korea, Republic of|SIte KR82002, Seoul, Korea, Republic of|Site KR82006, Seoul, Korea, Republic of|Site PT35101, Lisboa, Portugal|Site PT35106, Porto, Portugal|Site ES34002, Barcelona, Spain|Site ES34003, Barcelona, Spain|Site ES34009, Barcelona, Spain|Site ES34010, Barcelona, Spain|Site ES34001, Madrid, Spain|Site ES34006, Madrid, Spain|Site ES34013, Madrid, Spain|Site ES34014, Valencia, Spain|Site TW88602, Taichung, Taiwan|Site TW88601, Tainan, Taiwan|Site TW88603, Taipei City, Taiwan|Site GB44001, Leeds, United Kingdom|Site GB44003, London, United Kingdom|Site GB44006, London, United Kingdom|Site GB44004, Newcastle upon Tyne, United Kingdom|Site GB44005, Sutton Surry, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03260322"
11,"NCT04243499","First-in-Human Study of ICT01 in Patients With Advanced Cancer","EVICTION","Recruiting","No Results Available","Solid Tumor, Adult|Hematopoietic/Lymphoid Cancer","Biological: IV ICT01","Adverse Events (Parts 1 & 2)|Objective Response Rate using RECIST for solid tumor patients (Part 2)|Objective Response Rate using RECIL for lymphoma patients (Part 2)|Change from Baseline in the Number of Circulating Gamma Delta T Cells|Change from Baseline in the Activation State of Circulating Gamma Delta T Cells|Cmax following the first dose of ICT01|AUC following the first dose of ICT01|Clearance at steady-state of ICT01|Half-life of ICT01|Objective Response Rate using iRECIST for solid tumor patients (Part 2)","ImCheck Therapeutics","All","18 Years and older   (Adult, Older Adult)","Phase 1","150","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ICT01-101","February 10, 2020","December 2022","December 2022","January 28, 2020",,"February 12, 2020","Institut Jules Bordet, Brussels, Belgium|Institut Goustave Roussey, Paris, France",,"https://ClinicalTrials.gov/show/NCT04243499"
