"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03532737","Concomitant Immune Check Point Inhibitor With Radiochemotherapy in Head And Neck Cancer",,"Recruiting","No Results Available","Locally Advanced Head and Neck Cancer","Drug: Pembrolizumab","Dose Limiting Toxicity (DLT)|Response Rate|Locoregional control rates|Progression free survival|Overall survival","Kuwait Cancer Control Center","All","16 Years and older   (Child, Adult, Older Adult)","Phase 2","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HNIT 01","October 7, 2018","September 30, 2021","October 31, 2022","May 22, 2018",,"October 17, 2018","Kuwait Cancer Control Center, Kuwait, Kuwait",,"https://ClinicalTrials.gov/show/NCT03532737"
2,"NCT04196465","Phase II Study of Neoadjuvant Immune Checkpoint Inhibitor in Patients With Resectable Gastrointestinal Cancers","NeoChance","Recruiting","No Results Available","Subjects With Resectable and Localized Gastric Cancer|Subjects With Resectable Esophageal Cancer or Liver Cancer|Subjects With Resectable Liver Cancer","Drug: IMC-001","Major pathologic response rate|The safety and feasibility|R0 resection rate|Clinical tumor response rate|Clnical disease control rate|Progression-free survival|Relapse-free survival|Overall survival|The rates and patterns of cancer progression/relapse|Patterns of cancer progression/relapse","Asan Medical Center","All","19 Years and older   (Adult, Older Adult)","Phase 2","48","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2019-0988","September 9, 2019","September 9, 2026","September 26, 2026","December 12, 2019",,"December 12, 2019","Asan Medical Center, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04196465"
3,"NCT04104893","A Study of CHeckpoint Inhibitors in Men With prOgressive Metastatic Castrate Resistant Prostate Cancer Characterized by a Mismatch Repair Deficiency or Biallelic CDK12 Inactivation","CHOMP","Recruiting","No Results Available","Metastatic Castration Resistant Prostate Cancer","Drug: Pembrolizumab","PSA Decline|Objective Response Rate|Time to Progression of Disease|Overall Survival|Maximum PSA Response|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]","VA Office of Research and Development|Merck Sharp & Dohme Corp.","Male","18 Years and older   (Adult, Older Adult)","Phase 2","30","U.S. Fed|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CSDR-003-18F","February 20, 2020","March 31, 2023","March 31, 2023","September 26, 2019",,"March 16, 2020","VA Greater Los Angeles Healthcare System, West Los Angeles, CA, West Los Angeles, California, United States|Jesse Brown VA Medical Center, Chicago, IL, Chicago, Illinois, United States|VA Ann Arbor Healthcare System, Ann Arbor, MI, Ann Arbor, Michigan, United States|James J. Peters VA Medical Center, Bronx, NY, Bronx, New York, United States|Manhattan Campus of the VA NY Harbor Healthcare System, New York, NY, New York, New York, United States|VA Puget Sound Health Care System Seattle Division, Seattle, WA, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT04104893"
4,"NCT03755739","Trans-Artery/Intra-Tumor Infusion of Checkpoint Inhibitors for Immunotherapy of Advanced Solid Tumors",,"Recruiting","No Results Available","Hepatocarcinoma|Lung Cancer|Melanoma|Renal Cancer|Head and Neck Cancer|Pancreas Cancer|Ovarian Cancer|Colo-rectal Cancer|Cervical Cancer|Breast Cancer","Drug: Checkpoint inhibitor (CPI) such as Pembrolizumab","Overall survival|Complete response (CR) rate before or at Month 6|Progression-free survival|Duration of remission (DOR)|Disease control rate|Cause of death (COD) when appropriate","Second Affiliated Hospital of Guangzhou Medical University","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","200","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Local Checkpoint Inhibitors","November 1, 2018","November 1, 2033","November 1, 2033","November 28, 2018",,"February 17, 2020","The Second Affiliated Hospital of Guangzhou Medical University, Guanzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT03755739"
5,"NCT03762161","A Phase II Study of Lonsurf (TAS-102) in Metastatic Platinum and Checkpoint Inhibitor-resistant Bladder Cancer",,"Recruiting","No Results Available","Bladder Cancer","Drug: TAS 102","Clinical benefit rate (complete response+ partial response+ stable disease)|Progression-free survival rate (PFS) among participants|Overall response rate (ORR) among participants|Overall survival rate (OS) among participants|Overall change in patient-reported quality of life outcomes|Proportion of participants with Grade 3 or higher Adverse and Serious Adverse Events","Rahul Parikh|Taiho Oncology, Inc.|University of Kansas Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","22","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IIT-2018-TAS-102","January 3, 2019","July 2021","January 2024","December 3, 2018",,"February 1, 2019","University of Kansas Cancer Center - Clinical Research Center, Fairway, Kansas, United States|University of Kansas Cancer Center, Westwood Campus, Kansas City, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT03762161"
6,"NCT03287674","TIL Therapy in Combination With Checkpoint Inhibitors for Metastatic Ovarian Cancer",,"Active, not recruiting","No Results Available","Metastatic Ovarian Cancer","Drug: Cyclophosphamide|Drug: Fludarabine|Biological: TIL infusion|Drug: Interleukin-2|Drug: Ipilimumab|Drug: Nivolumab","Number and type of reported adverse events|Treatment related immune responses|Objective response rate|Overall Survival|Progression free survival","Inge Marie Svane|Herlev Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","6","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GY1721","October 9, 2017","October 2022","October 2023","September 19, 2017",,"February 12, 2020","Center for Cancer Immune Therapy Dept. of Hematology/oncology, Copenhagen, Denmark",,"https://ClinicalTrials.gov/show/NCT03287674"
7,"NCT03544723","Safety and Efficacy of Ad-p53 Combined With Checkpoint Inhibitor in Head and Neck Cancer",,"Recruiting","No Results Available","Solid Tumor|Lymphoma","Drug: Ad-P53","Progression-Free Survival (PFS) of patients using RECIST 1.1|Safety assessment with the collection and assessment of adverse events per the CTCAE|Preliminary assessment of Duration of Response (DoR), progression free survival (PFS) by RECIST 1.1 in injected lesions only","MultiVir, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Ad-p53-002","October 1, 2018","October 1, 2021","May 1, 2022","June 4, 2018",,"June 2, 2020","Robert H. Lurie Comprehensive Cancer Center   Northwestern University, Chicago, Illinois, United States|Rush University Cancer Center, Chicago, Illinois, United States|Morristown Medical Center, Morristown, New Jersey, United States|MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03544723"
8,"NCT04062708","CHIO3 Trial: CHemotherapy Combined With Immune Checkpoint Inhibitor for Operable Stage IIIA/B Non-Small Cell Lung Cancer",,"Not yet recruiting","No Results Available","Stage IIIA Non-small Cell Lung Cancer|Stage IIIB Non-small Cell Lung Cancer","Drug: Durvalumab|Procedure: Surgery|Radiation: Radiotherapy","N2 nodal clearance (N2NC)|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|Radiographic response rate|Rate of major pathologic response and pathologic complete response|Evaluate event free survival (EFS)|Overall survival rate|Rate of complete resection.|Post-operative complications","Alliance Foundation Trials, LLC.|AstraZeneca","All","18 Years and older   (Adult, Older Adult)","Phase 2","55","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AFT-46","September 2019","July 2021","September 2024","August 20, 2019",,"August 20, 2019","Mayo Clinic, Phoenix, Arizona, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|St. Joseph Mercy Hospital, Ypsilanti, Michigan, United States|Mayo Clinic Rochester, Rochester, Minnesota, United States|Roswell Park Comprehensive Cancer Center, Buffalo, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Stephenson Cancer Center, Oklahoma City, Oklahoma, United States|University of Virginia Health System, Charlottesville, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT04062708"
9,"NCT04009681","A Study Evaluating Safety and Therapeutic Activity of THOR-707 in Adult Subjects With Advanced or Metastatic Solid Tumors","THOR-707-101","Recruiting","No Results Available","Solid Tumor, Unspecified, Adult","Drug: THOR-707|Drug: Checkpoint inhibitor","Rate of Dose-Limiting Toxicities (DLTs)|Maximum Tolerated Dose (MTD)|Recommended Phase 2 Dose|Objective Response Rate (ORR) according to RECIST version 1.1|Duration of Response (DOR) according to RECIST version 1.1|Progression-Free Survival (PFS) according to RECIST version 1.1|Overall Survival according to RECIST version 1.1|Time to Response (TTR) according to RECIST version 1.1|Disease Control Rate (DCR) according to RECIST version 1.1|Immunophenotyping of peripheral blood at various timepoints|Immunophenotyping of tumor samples at various timepoints|Assess presence of antibodies to THOR-707 at various timepoints|Assess plasma concentration of THOR-707 at various timepoints","Synthorx, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","300","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","THOR-707-101","June 20, 2019","June 2022","June 2022","July 5, 2019",,"March 17, 2020","Synthorx Investigational Site, Denver, Colorado, United States|Synthorx Investigational Site, Sarasota, Florida, United States|Synthorx Investigational Site, Nashville, Tennessee, United States|Synthorx Investigational Site, Houston, Texas, United States|Synthorx Investigational Site, San Antonio, Texas, United States|Synthorx Investigational Site, Melbourne, Australia|Synthorx Investigational Site, Perth, Australia|Synthorx Investigational Site, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT04009681"
10,"NCT03228667","QUILT-3.055: A Study of ALT-803 in Combination With PD-1/PD-L1 Checkpoint Inhibitor in Patients With Advanced Cancer",,"Recruiting","No Results Available","Non-Small Cell Lung Cancer|Small Cell Lung Cancer|Urothelial Carcinoma|Head and Neck Squamous Cell Carcinoma|Merkel Cell Carcinoma|Melanoma|Renal Cell Carcinoma|Gastric Cancer|Cervical Cancer|Hepatocellular Carcinoma|Microsatellite Instability|Mismatch Repair Deficiency|Colorectal Cancer","Drug: ALT-803 + Pembrolizumab|Drug: ALT-803 + Nivolumab|Drug: ALT-803 + Atezolizumab|Drug: ALT-803 + Avelumab","Objective Response Rate|Disease-specific Survival|Overall Survival|Time to Response|Duration of Response|Incidence of Adverse Events|Quality of Life (QOL)|Progression-free Survival","Altor BioScience","All","18 Years and older   (Adult, Older Adult)","Phase 2","611","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CA-ALT-803-02-17","December 11, 2018","June 2020","August 2020","July 25, 2017",,"February 28, 2020","Alaska Clinical Research Center, Anchorage, Alaska, United States|Genesis Cancer Center, Hot Springs, Arkansas, United States|Chan Soon-Shiong Institute for Medicine, El Segundo, California, United States|Glendale Adventist Medical Center, Glendale, California, United States|Desert Hematology Oncology Medical Group, Inc., Rancho Mirage, California, United States|Memorial Healcare System, Hollywood, Florida, United States|Miami Cancer Institute (Baptist Health South Florida), Miami, Florida, United States|University of Miami, Miami, Florida, United States|Horizon Oncology Associates, Lafayette, Indiana, United States|Baptist Health - Lexington, Lexington, Kentucky, United States|Baptist Health- Louisville, Louisville, Kentucky, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|University of Minnesota - Masonic Cancer Center, Minneapolis, Minnesota, United States|Mercy Research Joplin, Joplin, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Mercy Clinic Cancer & Hematology - Chub O'Reilly Cancer Center, Springfield, Missouri, United States|St. Vincent Frontier Cancer Center (SCL), Billings, Montana, United States|Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|University of Rochester, Rochester, New York, United States|Cleveland Clinic - Main Site, Cleveland, Ohio, United States|Mercy Clinic Oklahoma City, Oklahoma City, Oklahoma, United States|Providence Portland Medical Center, Portland, Oregon, United States|Medical University of South Carolina, Charleston, South Carolina, United States|St. Francis Cancer Center/Bon Secours St. Francis Health System, Greenville, South Carolina, United States|Spartanburg Medical Center, Spartanburg, South Carolina, United States|Sanford Clinical Research, Sioux Falls, South Dakota, United States|University of Tennessee Medical Center, Knoxville, Tennessee, United States|Oncology Consultants of Houston, Houston, Texas, United States|Bon Secours Richmond, Richmond, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT03228667"
