,0
0,ags15e
1,imcgp100
2,tivozanib hydrochloride
3,tlpldc vaccine
4,sra737
5,trilaciclib
6,alt-803 + pembrolizumab
7,enfortumab vedotin (ev)
8,vorolanib
9,tomivosertib (eft-508)
10,com701
11,9-ing-41
12,checkpoint inhibitor (cpi) such as pembrolizumab
13,tsr-042
14,avid200
15,ft500
16,tagrisso® 80mg (osimertinib)
17,ctx-471
18,idh1r132h peptide vaccine
19,sitravatinib
20,parp inhibitor and anti-pd-l1
21,cx-072
22,"radium-223 dichloride (xofigo, bay 88-8223)"
23,medi0457
24,atezolizumab injection [tecentriq]
25,cd24fc
26,bay1895344
27,sar408701
28,niz985 and spartalizumab
29,interleukin-15 superagonist (n-803)
30,cc-90011
