,0
0,hyperacute®-melanoma (ham) immunotherapy
1,omaveloxolone capsules (2.5 mg/capsule)
2,pbf-509_80 mg
3,ose2101
4,"sra737, gemcitabine, cisplatin"
5,tmt212
6,incb001158
7,ck-101
8,faz053
9,olaptesed pegol - monotherapy
10,asp8374
11,pbf-1129
12,ly3381916
13,apg-1387 for injection
14,vegfr/pdgfr dual kinase inhibitor x-82
15,grapiprant and pembrolizumab
16,av-mel-1
17,azd5363+olaparib+durvalumab
18,kn046
19,nivolumab 480mg and surgical resection
20,surufatinib/humanized anti-pd-1 monoclonal antibody
21,nt-i7
22,"shr-1210 combined with trastuzumab , oxaliplatin and capecitabine"
23,"combined therapy using oxaliplatin and gemcitabine chemotherapy, lenvatinib and pd1 antibody (js001)"
24,intraperitoneal (ip) nivolumab infusion
25,js001(pd-1 inhibitor)
26,sintilimab maintenance
27,tno155
28,89zr-dfo-atezolizumab
29,thor-707
30,imsa101
31,sns-301
32,prolonged glucocorticosteroid (prednisone) regimen
33,bnt411
34,hb-201 intravenous administration
35,tislelizumab+regorafenib for part 1;tislelizumab+regorafenib for group 1 of part 2; placebo+regorafenib for group 2 of part 2.
36,imc-001
37,inbrx-106 - hexavalent ox40 agonist antibody
38,xmab24306
39,imc-f106c
40,copanlisib hydrochloride
41,shr2554+shr1701
