,Num abstracts found,Drug Name
0,923,pd-0332991
1,39,prexasertib
2,3413,pemetrexed
3,3524,ipilimumab
4,510,low dose cyclophosphamide (oral)
5,17429,cytarabine
6,2,ags15e
7,3873,pembrolizumab
8,4925,nivolumab
9,7110,gefitinib
10,0,hyperacute®-melanoma (ham) immunotherapy
11,152,indoximod
12,264,alisertib
13,41,ly2606368
14,0,omaveloxolone capsules (2.5 mg/capsule)
15,0,pbf-509_80 mg
16,16500,docetaxel
17,50,bbi608
18,1363,olaparib
19,8,imcgp100
20,16903,gemcitabine
21,70,pv-10
22,1041,atezolizumab
23,7,tivozanib hydrochloride
24,0,ose2101
25,3,tlpldc vaccine
26,770,vismodegib
27,114,galunisertib
28,72,pexidartinib
29,493,durvalumab; medi4736
30,4,sra737
31,0,"sra737, gemcitabine, cisplatin"
32,97,mocetinostat
33,61,ca-170
34,3880,mk-3475
35,63,lcl161
36,0,tmt212
37,493,durvalumab
38,0,incb001158
39,0,ck-101
40,0,faz053
41,25216,immune checkpoint inhibitors or docetaxel
42,7261,cetuximab
43,61212,interleukin-2
44,134,anti-pd-l1 antibody atezolizumab
45,419,avelumab
46,5,trilaciclib
47,992,axitinib
48,3009,denosumab
49,0,olaptesed pegol - monotherapy
50,1749,pazopanib
51,24,enfortumab vedotin
52,235,intralesional il-2
53,1,alt-803 + pembrolizumab
54,357,decitabine (dac)
55,0,asp8374
56,40,opdivo injectable product or keytruda injectable product
57,0,pbf-1129
58,14,pembrolizumab at 7 days prior
59,58493,5-fluorouracil (5-fu)
60,73582,cyclophosphamide
61,3,enfortumab vedotin (ev)
62,59,nivolumab injection
63,305,dsp-7888 dosing emulsion
64,3886,immune checkpoint inhibitor
65,72536,doxorubicin
66,77,epacadostat
67,785,cyp1a2 (caffeine)
68,0,ly3381916
69,73,cyclophosphamide 50mg
70,1749,testosterone undecanoate and sunitinib or pazopanib
71,44975,propranolol hydrochloride
72,0,apg-1387 for injection
73,62,cemiplimab
74,38,rhil-15
75,37,camrelizumab
76,8715,sorafenib
77,1015259,bi 836880
78,3,vorolanib
79,7071,pembrolizumab or nivolumab
80,39,trastuzumab deruxtecan
81,839,cabozantinib
82,183,ad-p53
83,15,m7824
84,12,hu5f9-g4
85,36,pembrolizumab injection [keytruda]
86,262,rucaparib
87,1458,valacyclovir
88,0,vegfr/pdgfr dual kinase inhibitor x-82
89,228757,placebo
90,431,blinatumomab
91,1,tomivosertib (eft-508)
92,17,lmb-100
93,1,com701
94,947354,denosumab-nivolumab combination
95,4175,immune-checkpoint inhibitors therapies
96,9,9-ing-41
97,0,grapiprant and pembrolizumab
98,21984,metformin hydrochloride
99,6133,sunitinib
100,91,rintatolimod
101,46,azd6738
102,0,av-mel-1
103,1113,dabrafenib
104,25,pd-1 antibody (shr-1210)
105,9,checkpoint inhibitor (cpi) such as pembrolizumab
106,236,tas 102
107,0,azd5363+olaparib+durvalumab
108,16,toripalimab
109,53134,prednisone
110,219,nivolumab plus ipilimumab
111,7698,temozolomide
112,1,tsr-042
113,493,durvalumab (medi4736)
114,1,avid200
115,0,kn046
116,1,ft500
117,3,tagrisso® 80mg (osimertinib)
118,0,nivolumab 480mg and surgical resection
119,0,surufatinib/humanized anti-pd-1 monoclonal antibody
120,1,ctx-471
121,1,idh1r132h peptide vaccine
122,0,nt-i7
123,14,vtx-2337
124,7,sitravatinib
125,6959,capecitabine
126,2273,shr1210 combined with folfox
127,17525,carboplatin
128,0,"shr-1210 combined with trastuzumab , oxaliplatin and capecitabine"
129,7,parp inhibitor and anti-pd-l1
130,0,"combined therapy using oxaliplatin and gemcitabine chemotherapy, lenvatinib and pd1 antibody (js001)"
131,0,intraperitoneal (ip) nivolumab infusion
132,0,js001(pd-1 inhibitor)
133,0,sintilimab maintenance
134,1015259,bi 765063
135,2,cx-072
136,2409,pd-1 inhibitor
137,2,"radium-223 dichloride (xofigo, bay 88-8223)"
138,0,tno155
139,2,medi0457
140,0,89zr-dfo-atezolizumab
141,0,thor-707
142,12,the combination of radiotherapy with anti-pd1 (pembrolizumab or nivolumab)
143,0,imsa101
144,0,sns-301
145,14,dexamthasone
146,0,prolonged glucocorticosteroid (prednisone) regimen
147,1980,loperamide
148,1,atezolizumab injection [tecentriq]
149,1197,trametinib
150,3,cd24fc
151,2940617,peptide
152,3,bay1895344
153,0,bnt411
154,546,pegylated liposomal doxorubicin (pld)
155,48,capmatinib
156,1,sar408701
157,17,continue pd-1/pd-l1 inhibitors treatment
158,14032,pd-1
159,0,hb-201 intravenous administration
160,82,pembrolizumab and ramucirumab
161,0,tislelizumab+regorafenib for part 1;tislelizumab+regorafenib for group 1 of part 2; placebo+regorafenib for group 2 of part 2.
162,0,imc-001
163,0,inbrx-106 - hexavalent ox40 agonist antibody
164,48097,mgd013 monotherapy
165,268,cobimetinib
166,3350756,chemotherapy
167,75357,cisplatin
168,0,xmab24306
169,6,niz985 and spartalizumab
170,0,imc-f106c
171,4925,ucpvax + nivolumab
172,19,sintilimab
173,37060,paclitaxel
174,87,nivolumab + paclitaxel
175,2,interleukin-15 superagonist (n-803)
176,64,regorafenib/nivolumab
177,0,copanlisib hydrochloride
178,6913,celecoxib
179,3,cc-90011
180,58493,fluorouracil (5-fu)
181,0,shr2554+shr1701
182,3412,anti-pd-1 antibody+peg-asparaginase+chidamide
